lockitver|DO NOT DELETE THIS LINE! 2896
dlga_award_fief_to_vassal_2:close_window|Как пожелаете, {господин/госпожа}. {reg6?Я:{reg7?Вы:{s11}}} новый правитель {s1}.
dlga_event_triggered:center_captured_rebellion|{s1} никем не управляется. Кого мне назначить?
dlga_center_captured_rebellion:center_captured_rebellion_2|{s11}. {s1}
dlga_center_captured_rebellion:center_captured_rebellion_2.1|Прошу вас, {s65}, я хочу оставить {s1} себе. (Лен: {s0})
dlga_center_captured_rebellion:center_captured_rebellion_2.2|{s66}, вам следует оставить {s1} себе. (Лен: {s0})
dlga_center_captured_rebellion_2:close_window|Хмм. Что ж, {playername}. Я высоко ценю ваш совет. {reg6?Я:{reg7?Вы:{s11}}} станете {reg3?госпожой:господином} {s1}.
dlga_start:fighter_talk|Привет. Мы оттачиваем здесь боевое мастерство небольшим спаррингом. Вы выглядите так, будто вам не помешала бы тренировка. Присоединяйтесь, и мы покажем вам пару трюков. И если вам понадобятся объяснения каких-либо боевых концепций, просто спросите, и я помогу вам, чем смогу.
dlga_start:fighter_talk.1|Что вы хотите практиковать?
dlga_fighter_pretalk:fighter_talk|Скажите мне, что вы хотите практиковать.
dlga_fighter_talk:fighter_talk_train_attack|Я хочу тренировать атаку.
dlga_fighter_talk:fighter_talk_train_parry|Я хочу тренировать блокирование оружием.
dlga_fighter_talk:fighter_talk_train_combat|Давайте немного поспаррингуем.
dlga_fighter_talk:close_window|[Уйти]
dlga_fighter_talk_train_attack:fighter_talk_train_attack_2|Отлично. Атака происходит из четырёх основных направлений: рубящий удар сверху, рубящий справа, рубящий слева и колющий удар. Сейчас я покажу вам, из какого направления вы должны атаковать, и вы должны выполнить правильный тип атаки. ^^(Двигайте мышь, удерживая нажатой левую кнопку, чтобы определить направление атаки. Например, для удара сверху двигайте мышь вверх в момент нажатия левой кнопки. Символы на экране помогут вам выполнить правильное движение.)
dlga_fighter_talk_train_attack_2:close_window|Итак, начнём. Я готов.
dlga_fighter_talk_train_attack_2:fighter_pretalk|Я бы предпочёл сначала заняться чем-то другим.
dlga_fighter_talk_train_parry:fighter_talk_train_parry_2|В отличие от щита, блокирование оружием отражает атаки только с одного направления. Если вы, например, блокируете сверху, вы отклоните атаки сверху, но всё равно можете быть поражены боковыми ударами или колющими атаками. ^^(Для блокирования нужно удерживать правую кнопку мыши.)
