lockitver|DO NOT DELETE THIS LINE! 2896
fac_no_faction|Без фракции
fac_commoners|Простолюдины
fac_outlaws|Преступники
fac_neutral|Нейтральные
fac_innocents|Невинные
fac_merchants|Торговцы
fac_player_faction|Фракция игрока
fac_player_supporters_faction|Сторонники игрока
fac_kingdom_1|Королевство Свадия
fac_kingdom_2|Королевство Вегиров
fac_kingdom_3|Ханат Хергитов
fac_kingdom_4|Королевство Нордов
fac_kingdom_5|Королевство Родоков
fac_kingdom_6|Сарранидский султанат
fac_manhunters|Охотники за людьми
fac_deserters|Дезертиры
fac_mountain_bandits|Горные бандиты
fac_forest_bandits|Лесные бандиты
