lockitver|DO NOT DELETE THIS LINE! 2896
menu_start_game_0|Добро пожаловать в Mount & Blade: Warband, искатель приключений. Прежде чем начать игру, вы должны создать персонажа. Не забывайте, что в игре изображено традиционное средневековое общество, в котором война и политика обычно находятся под властью мужчин-аристократов. Но это не должно останавливать вас от игры за женского персонажа или простолюдина. Хотя мужчинам-аристократам в начале игры немного легче, женщины и простолюдины могут достичь тех же целей — и их игра может оказаться гораздо интереснее, пусть и несколько сложнее в начале.
mno_continue|Продолжить...
mno_go_back|Назад.
menu_start_phase_2|Вы слышали о Кальрадии, земле, разорванной борьбой за власть между соперничающими королевствами, раю для рыцарей и наёмников, негодяев и искателей приключений, все в поисках богатства, власти или славы... Вы верите, что в этой земле больших опасностей и ещё больших возможностей сможете оставить своё прошлое позади и начать новую жизнь. В этот момент, на холме над далёкой тренировочной площадкой, вы наконец чувствуете, что держите ключ к своей судьбе в руках, можете принимать свободные решения, и что великие приключения ждут вас — независимо от того, какой путь вы выберете. Вдохновлённые историями, которые вы слышали о Кальрадии...
mno_town_1|вы присоединяетесь к каравану в Правен в Свадийском королевстве.
mno_town_2|вы присоединяетесь к каравану в Ривадин в королевстве Вегиров.
mno_town_3|вы присоединяетесь к каравану в Тулгу в Ханате Хергитов.
mno_town_4|вы садитесь на корабль в Саргот в королевстве Нордов
mno_town_5|вы садитесь на корабль в Елкалу в королевстве Родоков
mno_town_6|вы присоединяетесь к каравану в Шариз в Сарранидском султанате.
menu_start_game_3|Выберите свой сценарий:
menu_tutorial|Вы приближаетесь к полю, где местные жители тренируются с оружием. Здесь вы можете улучшить свои боевые навыки.
mno_go_back_dot|Назад.
menu_reports|Репутация персонажа: {reg5}^Рейтинг чести: {reg6}^Боевой дух отряда: {reg8}^Ограничение размера отряда: {reg7}^
mno_view_character_report|Просмотреть отчёт персонажа.
mno_view_party_size_report|Просмотреть размер отряда.
mno_view_npc_mission_report|Просмотреть отчёт о миссиях спутников.
mno_view_weekly_budget_report|Просмотреть еженедельный бюджетный отчёт.
mno_view_morale_report|Просмотреть боевой дух отряда.
mno_courtship_relations|Просмотреть отношения сватовства.
mno_view_faction_relations_report|Просмотреть отношения с фракциями.
mno_resume_travelling|Продолжить путешествие.
menu_custom_battle_scene|(NO TRANS)
menu_custom_battle_end|Битва окончена. {s1} Ваша сторона убила {reg5} врагов и потеряла {reg6} солдат в этом сражении. Вы лично одолели {reg7} человек в бою.
menu_start_game_1|Выберите пол вашего персонажа.
mno_start_male|Мужской
mno_start_female|Женский
menu_start_character_1|Вы родились много лет назад в далёкой земле. Ваш отец был...
mno_start_noble|Обедневшим дворянином.
mno_start_merchant|Странствующим торговцем.
mno_start_guard|Ветераном войны.
mno_start_forester|Охотником.
mno_start_nomad|Степным кочевником.
mno_start_thief|Вором.
menu_start_character_2|{s10}^^ Как только вы научились говорить и ходить, вы начали познавать мир. Свои ранние годы вы провели как...
mno_page|Паж при дворе дворянина.
mno_apprentice|Ученик ремесленника.
mno_stockboy|Продавец в магазине.
mno_urchin|Беспризорник.
mno_nomad|Степное дитя.
menu_start_character_3|{s11}^^ Когда вы стали молодым взрослым, ваша жизнь изменилась. Вы стали...
mno_squire|Оруженосцем.
mno_lady|Фрейлиной.
mno_troubadour|Трубадуром.
mno_student|Университетским студентом.
mno_peddler|Разносным торговцем.
mno_craftsman|Кузнецом.
mno_poacher|Браконьером.
