lockitver|DO NOT DELETE THIS LINE! 2896
str_no_string|НЕТ СТРОКИ!
str_empty_string|
str_yes|Да.
str_no|Нет.
str_blank_string|
str_noone|никто
str_s50_and_s51|{s50} и {s51}
str_s52_and_s51|{s52} и {s51}
str_s5_s_party|Отряд {s5}
str_given_by_s1_at_s2|Выдано {s1} в {s2}
str_given_by_s1_in_wilderness|Выдано {s1} в пустоши
str_s7_raiders|Налётчики {s7}
str_bandits_eliminated_by_another|Докучливые бандиты были уничтожены другим отрядом.
str_msg_battle_won|Битва выиграна! Нажмите Tab для выхода...
str_tutorial_map1|Сейчас вы видите глобальную карту. Кликните левой кнопкой мыши на карте, чтобы переместить ваш отряд в указанное место, войти в выбранный город или преследовать выбранный отряд. Время на глобальной карте останавливается, когда ваш отряд не марширует, не ждёт и не отдыхает. Чтобы ждать в определённом месте, нажмите и удерживайте пробел.
str_charge|Атака
str_color|Цвет
str_flip_horizontal|Отразить горизонтально
str_flip_vertical|Отразить вертикально
str_hold_fire|Прекратить огонь
str_blunt_hold_fire|Тупое оружие/Прекратить огонь
str_tutorial_ammo_refilled|Боеприпасы восполнены
str_tutorial_failed|На этот раз вы были разбиты, но не беспокойтесь. Внимательно следуйте инструкциям, и в следующий раз всё будет гораздо лучше. Нажмите Tab для возврата в меню, где вы сможете пройти это обучение заново.
str_finished|(Завершено)
str_delivered_damage|Нанесено урона: {reg60}.
str_archery_target_hit|Дистанция: {reg61} шагов. Очки: {reg60}
str_use_baggage_for_inventory|В бою вы найдёте свой инвентарь в сундуке (он находится на вашей стартовой позиции).
str_cant_use_inventory_now|Инвентарь сейчас недоступен.
str_cant_use_inventory_arena|Инвентарь недоступен на арене.
str_cant_use_inventory_disguised|Инвентарь недоступен в маскировке.
str_cant_use_inventory_tutorial|Инвентарь недоступен в тренировочном лагере.
str_1_denar|1 денар
str_reg1_denars|{reg1} денаров
str_january_reg1_reg2|{reg1} января {reg2}
str_february_reg1_reg2|{reg1} февраля {reg2}
str_march_reg1_reg2|{reg1} марта {reg2}
str_april_reg1_reg2|{reg1} апреля {reg2}
str_may_reg1_reg2|{reg1} мая {reg2}
str_june_reg1_reg2|{reg1} июня {reg2}
str_july_reg1_reg2|{reg1} июля {reg2}
str_august_reg1_reg2|{reg1} августа {reg2}
str_september_reg1_reg2|{reg1} сентября {reg2}
str_october_reg1_reg2|{reg1} октября {reg2}
str_november_reg1_reg2|{reg1} ноября {reg2}
str_december_reg1_reg2|{reg1} декабря {reg2}
str_town_nighttime|Уже поздний вечер, и порядочные люди давно не выходят на улицы.
str_door_locked|Дверь заперта.
str_castle_is_abondened|Замок кажется покинутым.
str_town_is_abondened|В городе нет гарнизона для его защиты.
str_place_is_occupied_by_player|Место удерживается вашими войсками.
str_place_is_occupied_by_enemy|Место удерживается вражескими войсками.
str_place_is_occupied_by_friendly|Место удерживается союзными войсками.
str_do_you_want_to_retreat|Вы уверены, что хотите отступить?
str_give_up_fight|Сдаться?
str_do_you_wish_to_leave_tutorial|Вы хотите покинуть обучение?
str_do_you_wish_to_surrender|Вы хотите сдаться?
str_can_not_retreat|Отступление невозможно, враги рядом!
str_s1_joined_battle_enemy|{s1} присоединился к битве на стороне врага.
str_s1_joined_battle_friend|{s1} присоединился к битве на вашей стороне.
str_entrance_to_town_forbidden|Городская стража высматривает нарушителей, и похоже, вы не сможете беспрепятственно пройти через ворота.
str_sneaking_to_town_impossible|Городская стража настороже. Вы не сможете незаметно проскользнуть через ворота, какой бы хорошей ни была ваша маскировка.
str_battle_won|Вы выиграли битву!
str_battle_lost|Вы проиграли битву!
str_attack_walls_success|После кровавого боя вашим храбрым солдатам удалось вырвать стены из рук врага.
str_attack_walls_failure|Ваши солдаты гибнут при штурме стен как мухи, и немногие выжившие обращаются в бегство.
str_attack_walls_continue|Разгорается кровавый бой, и обе стороны сражаются с равной храбростью. Несмотря на усилия ваших войск, замок остаётся во вражеских руках.
str_order_attack_success|Ваши люди сражаются храбро и побеждают врага.
str_order_attack_failure|С замирающим сердцем вы наблюдаете, как враг косит ваших солдат, а немногие оборванные выжившие обращаются в бегство.
str_order_attack_continue|Несмотря на затянувшуюся перестрелку, ваши войска не смогли одержать решающей победы.
str_join_order_attack_success|Ваши люди хорошо сражаются рядом с союзниками и делят славу разгрома врагов.
str_join_order_attack_failure|С замирающим сердцем вы наблюдаете, как враг косит ваших солдат, а немногие оборванные выжившие обращаются в бегство.
