lockitver|DO NOT DELETE THIS LINE! 2896
itm_no_item|НЕДЕЙСТВИТЕЛЬНЫЙ ПРЕДМЕТ
itm_no_item_pl|НЕДЕЙСТВИТЕЛЬНЫЙ ПРЕДМЕТ
itm_tutorial_spear|Копьё
itm_tutorial_spear_pl|Копьё
itm_tutorial_club|Дубина
itm_tutorial_club_pl|Дубина
itm_tutorial_battle_axe|Боевой топор
itm_tutorial_battle_axe_pl|Боевой топор
itm_tutorial_arrows|Стрелы
itm_tutorial_arrows_pl|Стрелы
itm_tutorial_bolts|Арбалетные болты
itm_tutorial_bolts_pl|Арбалетные болты
itm_tutorial_short_bow|Короткий лук
itm_tutorial_short_bow_pl|Короткий лук
itm_tutorial_crossbow|Арбалет
itm_tutorial_crossbow_pl|Арбалет
itm_tutorial_throwing_daggers|Метательные кинжалы
itm_tutorial_throwing_daggers_pl|Метательные кинжалы
itm_tutorial_saddle_horse|Верховая лошадь
itm_tutorial_saddle_horse_pl|Верховая лошадь
itm_tutorial_shield|Щит-кайт
itm_tutorial_shield_pl|Щит-кайт
itm_tutorial_staff_no_attack|Посох
itm_tutorial_staff_no_attack_pl|Посох
itm_tutorial_staff|Посох
itm_tutorial_staff_pl|Посох
itm_tutorial_sword|Меч
itm_tutorial_sword_pl|Меч
itm_tutorial_axe|Топор
itm_tutorial_axe_pl|Топор
itm_tutorial_dagger|Кинжал
itm_tutorial_dagger_pl|Кинжал
itm_horse_meat|Конина
itm_horse_meat_pl|Конина
itm_practice_sword|Тренировочный меч
itm_practice_sword_pl|Тренировочный меч
itm_heavy_practice_sword|Тяжёлый тренировочный меч
itm_heavy_practice_sword_pl|Тяжёлый тренировочный меч
itm_practice_dagger|Тренировочный кинжал
itm_practice_dagger_pl|Тренировочный кинжал
itm_practice_axe|Тренировочный топор
itm_practice_axe_pl|Тренировочный топор
itm_arena_axe|Топор
itm_arena_axe_pl|Топор
itm_arena_sword|Меч
itm_arena_sword_pl|Меч
itm_arena_sword_two_handed|Двуручный меч
itm_arena_sword_two_handed_pl|Двуручный меч
itm_arena_lance|Копьё
itm_arena_lance_pl|Копьё
itm_practice_staff|Тренировочный посох
itm_practice_staff_pl|Тренировочный посох
itm_practice_lance|Тренировочное копьё
itm_practice_lance_pl|Тренировочное копьё
itm_practice_shield|Тренировочный щит
itm_practice_shield_pl|Тренировочный щит
itm_practice_bow|Тренировочный лук
itm_practice_bow_pl|Тренировочный лук
itm_practice_crossbow|Тренировочный арбалет
itm_practice_crossbow_pl|Тренировочный арбалет
itm_practice_javelin|Тренировочные дротики
itm_practice_javelin_pl|Тренировочные дротики
itm_practice_javelin_melee|
itm_practice_javelin_melee_pl|
itm_practice_throwing_daggers|Метательные кинжалы
itm_practice_throwing_daggers_pl|Метательные кинжалы
itm_practice_throwing_daggers_100_amount|Метательные кинжалы
itm_practice_throwing_daggers_100_amount_pl|Метательные кинжалы
itm_practice_horse|Тренировочная лошадь
itm_practice_horse_pl|Тренировочная лошадь
itm_practice_arrows|Тренировочные стрелы
itm_practice_arrows_pl|Тренировочные стрелы
itm_practice_bolts|Тренировочные арбалетные болты
itm_practice_bolts_pl|Тренировочные арбалетные болты
itm_practice_arrows_10_amount|Тренировочные стрелы
itm_practice_arrows_10_amount_pl|Тренировочные стрелы
itm_practice_arrows_100_amount|Тренировочные стрелы
itm_practice_arrows_100_amount_pl|Тренировочные стрелы
itm_practice_bolts_9_amount|Тренировочные стрелы
itm_practice_bolts_9_amount_pl|Тренировочные стрелы
itm_practice_boots|Тренировочные сапоги
itm_practice_boots_pl|Тренировочные сапоги
itm_red_tourney_armor|Красный турнирный доспех
itm_red_tourney_armor_pl|Красный турнирный доспех
