lockitver|DO NOT DELETE THIS LINE! 2896
qstr_Next_Page|Следующая страница
qstr_Game_Rules:^|Правила игры:^
qstr_Show_game_rules|Показать правила игры
qstr_Continue...|Продолжить...
qstr_Candidate_#1:_{s1}|Кандидат #1: {s1}
qstr_Candidate_#2:_{s1}|Кандидат #2: {s1}
qstr_{s3}_of_{s4}_wishes_|{s3} из {s4} желает выбрать нового маршала и приглашает своих вассалов на совет. {s1} и {s2} — наиболее вероятные кандидаты.
qstr_Who_do_you_wish_to_s|Кого вы желаете поддержать?
qstr_{s1}_gives_his_suppo|{s1} поддерживает {s2}.
qstr_Number_of_Supporters|Число сторонников: {reg0}
qstr_{s2}_has_heard_his_v|{s2} выслушал совет своих вассалов. Он выбирает {s1} маршалом {s3}.
qstr_Action|Действие
qstr_Mount|Сесть верхом
qstr_Attack_Type|Тип атаки
qstr_Stand_Ground|Стоять на месте
qstr_Charge|Атаковать
qstr_Follow_Me|За мной
qstr_Hold_This_Position|Держать позицию
qstr_Spread_Out|Рассредоточиться
qstr_Stand_Closer|Сомкнуться
qstr_Fall_Back|Отступить
qstr_Advance|Наступать
qstr_Dismount|Спешиться
qstr_Fire_At_Will|Огонь по своему усмотрению
qstr_Hold_Your_Fire|Прекратить огонь
qstr_Use_Blunt_Weapons|Использовать тупое оружие
qstr_Use_Any_Weapon|Использовать любое оружие
qstr_Ready|Готов
qstr_Wounded|Ранен
qstr_Dead|Убит
qstr_Number_of_men_knocke|Число сбитых с ног бойцов: {reg1}
qstr_Number_of_men_left:_|Число оставшихся бойцов: {reg1}
qstr_Opponents_Beaten:_{r|Побеждённых противников: {reg1}
qstr_Opponents_Remaining:|Оставшихся противников: {reg1}
qstr_Remain_in_retirement|Остаться в отставке.
qstr_Go_back_to_the_adven|Вернуться к приключениям.
qstr_You_have_retired_at_|Вы ушли в отставку на {reg4} уровне после {reg5} дней приключений.
qstr_Effect_on_Score|Влияние на счёт
qstr_Settlements_owned_by|Поселений в вашем владении: {reg0}
qstr_Friendly_Settlements|Дружественных поселений: {reg0}
qstr_Hostile_Settlements:|Враждебных поселений: {reg0}
qstr_Friendly_Lords:_{reg|Дружественных лордов: {reg0}
qstr_Enemy_Lords:_{reg0}|Вражеских лордов: {reg0}
qstr_Victories:_{reg0}|Побед: {reg0}
qstr_Defeats:_{reg0}|Поражений: {reg0}
qstr_Quests_Completed:_{r|Выполненных заданий: {reg0}
qstr_Companions_Found:_{r|Найдено спутников: {reg0}
qstr_Companions_Lost/Depa|Потеряно/ушло спутников: {reg0}
qstr_Wealth:_{reg0}_denar|Богатство: {reg0} динаров
qstr_Inventory:_{reg0}_de|Инвентарь: {reg0} динаров
qstr_Renown:_{reg0}|Известность: {reg0}
qstr_Experience:_{reg0}|Опыт: {reg0}
qstr_Days_Passed:_{reg0}|Прошло дней: {reg0}
qstr_Difficulty:_{reg0}%|Сложность: {reg0}%
qstr_TOTAL_SCORE:_{reg0}|ОБЩИЙ СЧЁТ: {reg0}
qstr_None|Нет
qstr_{s1}_of_{s3}_was_def|{s1} из {s3} был разбит в бою, но смог скрыться.
qstr_{s54}_is_a_claimant_|{s54} — претендент на трон {s56}.
qstr_nowhere|нигде
qstr_{s57}_and_{s58}|{s57} и {s58}
qstr_{reg3?She:He}|{reg3?Она:Он}
qstr_The_town_of_{s50}|Город {s50}
qstr_The_village_of_{s50}|Деревня {s50} возле {s52}
qstr_{s51}_belongs_to_{s1|{s51} принадлежит {s1} из {s2}.^
qstr_{s7}_and_{s8}|{s7} и {s8}
qstr_{s2}It_has_no_villag|{s2}У него нет деревень.^
qstr_{s2}{reg0?Its_villag|{s2}{reg0?Его деревни:Его деревня}: {s8}.^
qstr_{s2}Its_prosperity_i|{s2}Его процветание: {s50}
qstr_noone|никто
qstr_{s9}_and_{s10}|{s9} и {s10}
qstr_{s5}_has_been_defeat|{s5} был побеждён!
qstr_{s7}_opened_the_gate|{s7} открыл ворота
qstr_{s7}_closed_the_gate|{s7} закрыл ворота
qstr_+{reg1}_to_party_mor|+{reg1} к морали отряда
qstr_Requires_{reg1}_inte|Требуется {reg1} интеллекта для чтения
qstr_Reading_Progress:_{r|Прогресс чтения: {reg1}%
qstr_wound_treament|лечение ран
qstr_trainer|тренер
qstr_surgery|хирургия
qstr_+1_to_{s1}_while_in_|+1 к {s1}, пока в инвентаре
qstr_Move_here|Переместиться сюда
qstr_View_notes|Просмотреть записи
qstr_killed|убит
qstr_wounded|ранен
