lockitver|DO NOT DELETE THIS LINE! 2896
skl_trade|Торговля
skl_trade_desc|Каждый уровень этого навыка снижает ваши торговые издержки на 5%%. (Навык отряда)
skl_leadership|Лидерство
skl_leadership_desc|Каждая единица увеличивает максимальное число солдат, которыми вы можете командовать, на 5, повышает мораль отряда и снижает жалование на 5%%. (Навык лидера)
skl_prisoner_management|Управление пленными
skl_prisoner_management_desc|Каждый уровень этого навыка увеличивает максимальное число пленников на %d. (Навык лидера)
skl_reserved_1|Зарезервированный навык 1
skl_reserved_1_desc|Это зарезервированный навык.
skl_reserved_2|Зарезервированный навык 2
skl_reserved_2_desc|Это зарезервированный навык.
skl_reserved_3|Зарезервированный навык 3
skl_reserved_3_desc|Это зарезервированный навык.
skl_reserved_4|Зарезервированный навык 4
skl_reserved_4_desc|Это зарезервированный навык.
skl_persuasion|Убеждение
skl_persuasion_desc|Этот навык помогает убедить других людей принять вашу точку зрения. (Личный навык)
skl_engineer|Инженер
skl_engineer_desc|Этот навык помогает вам при строительстве осадных машин и улучшении ленов. (Навык отряда)
skl_first_aid|Первая помощь
skl_first_aid_desc|Герои восстанавливают 5%% от потерянных в миссиях очков здоровья за уровень навыка. (Навык отряда)
skl_surgery|Хирургия
skl_surgery_desc|Каждая единица этого навыка даёт 4%% шанс, что смертельно раненый член отряда будет только ранен, а не убит. (Навык отряда)
skl_wound_treatment|Лечение ран
skl_wound_treatment_desc|Скорость лечения отряда увеличивается на 20%% за уровень навыка. (Навык отряда)
skl_inventory_management|Управление инвентарём
skl_inventory_management_desc|Увеличивает вместимость инвентаря на +6 за уровень навыка. (Навык лидера)
skl_spotting|Разведка
skl_spotting_desc|Дальность обзора отряда увеличивается на 10%% за уровень навыка. (Навык отряда)
skl_pathfinding|Следопытство
skl_pathfinding_desc|Скорость отряда на карте увеличивается на 3%% за уровень навыка. (Навык отряда)
skl_tactics|Тактика
skl_tactics_desc|Каждые два уровня этого навыка увеличивают преимущество в начале боя на 1. (Навык отряда)
skl_tracking|Выслеживание
skl_tracking_desc|Следы становятся более информативными. (Навык отряда)
skl_trainer|Тренер
skl_trainer_desc|Каждый день каждый герой с этим навыком даёт немного опыта каждому члену отряда с более низким уровнем. Опыт растёт так: {0,4,10,16,23,30,38,46,55,65,80}. (Личный навык)
skl_reserved_5|Зарезервированный навык 5
skl_reserved_5_desc|Это зарезервированный навык.
skl_reserved_6|Зарезервированный навык 6
skl_reserved_6_desc|Это зарезервированный навык.
skl_reserved_7|Зарезервированный навык 7
skl_reserved_7_desc|Это зарезервированный навык.
skl_reserved_8|Зарезервированный навык 8
skl_reserved_8_desc|Это зарезервированный навык.
skl_looting|Мародёрство
skl_looting_desc|Этот навык увеличивает количество получаемых трофеев на 10%% за уровень навыка. (Навык отряда)
skl_horse_archery|Конная стрельба
skl_horse_archery_desc|Снижает штрафы к урону и точности при стрельбе с лошади и падении с коня. (Личный навык)
skl_riding|Верховая езда
skl_riding_desc|Позволяет ездить на лошадях с более высоким требованием к навыку и увеличивает вашу скорость верхом и манёвренность. (Личный навык)
skl_athletics|Атлетика
skl_athletics_desc|Увеличивает вашу скорость бега. (Личный навык)
skl_shield|Щит
skl_shield_desc|Снижает урон по щитам (на 8%% за уровень навыка) и улучшает скорость щита и площадь покрытия. (Личный навык)
skl_weapon_master|Мастер оружия
skl_weapon_master_desc|Повышает пределы навыков владения оружием. Ограничения следующие: 60, 100, 140, 180, 220, 260, 300, 340, 380, 420. (Личный навык)
skl_reserved_9|Зарезервированный навык 9
skl_reserved_9_desc|Это зарезервированный навык.
skl_reserved_10|Зарезервированный навык 10
skl_reserved_10_desc|Это зарезервированный навык.
skl_reserved_11|Зарезервированный навык 11
skl_reserved_11_desc|Это зарезервированный навык.
skl_reserved_12|Зарезервированный навык 12
skl_reserved_12_desc|Это зарезервированный навык.
skl_reserved_13|Зарезервированный навык 13
skl_reserved_13_desc|Это зарезервированный навык.
skl_power_draw|Натяжение лука
skl_power_draw_desc|Позволяет персонажу использовать более мощные луки. Каждая дополнительная единица этого навыка (до четырёх плюс требование к натяжению лука) увеличивает урон от лука на 12%%. (Личный навык)
skl_power_throw|Сила метания
skl_power_throw_desc|Каждая дополнительная единица этого навыка увеличивает урон от метания на 10%%. (Личный навык)
skl_power_strike|Мощный удар
skl_power_strike_desc|Каждая дополнительная единица этого навыка увеличивает урон в ближнем бою на 8%%. (Личный навык)
skl_ironflesh|Железная плоть
skl_ironflesh_desc|Каждая дополнительная единица этого навыка увеличивает очки здоровья на +2. (Личный навык)
skl_reserved_14|Зарезервированный навык 14
skl_reserved_14_desc|Это зарезервированный навык.
skl_reserved_15|Зарезервированный навык 15
skl_reserved_15_desc|Это зарезервированный навык.
skl_reserved_16|Зарезервированный навык 16
skl_reserved_16_desc|Это зарезервированный навык.
skl_reserved_17|Зарезервированный навык 17
skl_reserved_17_desc|Это зарезервированный навык.
skl_reserved_18|Зарезервированный навык 18
skl_reserved_18_desc|Это зарезервированный навык.
