ui_music_volume|Громкость музыки:
ui_sound_volume|Громкость звука:
ui_mouse_sensitivity|Чувствительность мыши:
ui_invert_mouse_y_axis|Инвертировать ось Y мыши
ui_enabled|Включено
ui_disabled|Выключено
ui_damage_to_player|Урон игроку:
ui_reduced_to_1_over_4_easiest|Уменьшен до 1/4 (Проще всего)
ui_reduced_to_1_over_2_easy|Уменьшен до 1/2 (Легко)
ui_damage_to_friends|Урон союзникам:
ui_reduced_to_1_over_2_easiest|Уменьшен до 1/2 (Проще всего)
ui_reduced_to_3_over_4_easy|Уменьшен до 3/4 (Легко)
ui_normal|Обычный
ui_combat_ai|ИИ противников:
ui_combat_speed|Скорость боя:
ui_good|Хороший
ui_average_caps|Средний
ui_poor|Слабый
ui_faster|Быстрее
ui_slower|Медленнее
ui_control_block_direction|Управление блоком:
ui_automatic_recommended|Автоматическое
ui_manual_easy|Ручное (Легко)
ui_manual_hard|Ручное (Сложно)
ui_by_mouse_movement|Движением мыши
ui_control_attack_direction|Управление атакой:
ui_lance_control|Управление копьём:
ui_by_relative_enemy_position|По положению врага
ui_by_inverse_mouse_movement|Обратным движением мыши
ui_battle_size|Размер битвы:
ui_show_attack_direction|Показывать направление атаки
ui_show_targeting_reticule|Показывать прицел
ui_show_names_of_friendly_troops|Показывать знамёна союзников
ui_report_damage|Сообщать об уроне
ui_report_shot_difficulty|Сообщать сложность выстрела
ui_difficulty_rating_percentage|Уровень сложности = %d%%
ui_controls|Управление
ui_video_options|Настройки видео
ui_done|Готово
ui_factions|Фракции
ui_item_itemname|Предмет - %s
ui_prop_propname|Объект - %s
ui_unknown_unknownname|Неизвестно - %s
ui_entry_point_entrypointname|Точка входа %d
ui_passage_menu_item_passagename|Проход (пункт меню %d)
ui_plant_plantname|Растение - %s
ui_export_file_for_character_playername_already_exists_overwrite_it|Файл экспорта персонажа %s уже существует. Перезаписать?
ui_yes|Да
ui_no|Нет
ui_set_save_file_name|Введите имя для сохранения:
ui_enter_new_name|Введите новое имя:
ui_export_character|Экспортировать персонажа
ui_import_character|Импортировать персонажа
ui_character_playername_exported_successfully|Персонаж %s успешно экспортирован.
ui_character_playername_imported_successfully|Персонаж %s успешно импортирован.
ui_unable_to_open_import_file|Невозможно открыть файл импорта.
ui_are_you_sure_you_want_to_import_the_character|Вы уверены, что хотите импортировать персонажа?
ui_unable_to_find_character_import_file|Не удалось найти файл импорта персонажа.
ui_mount_and_blade_is_running_in_trial_mode_please_buy_the_game_for_importing_a_character|Mount&Blade работает в пробном режиме. Купите игру для импорта персонажа.
ui_change_skin|Кожа
ui_change_hair|Волосы
ui_change_hair_color|Цвет волос
ui_change_beard|Борода
ui_tutorial|Обучение
ui_tutorial_face_generator|Настройте лицо персонажа с помощью кнопок и ползунков. Чтобы повернуть голову, кликните на неё и перемещайте мышь.
ui_restore|Загрузить
ui_cancel|Отмена
ui_delete|Удалить
ui_confirm_delete_game|Вы уверены, что хотите удалить это сохранение?
ui_error_removing_file|Ошибка удаления файла...
ui_day_datedisplay|День %d (%d:%d%d)
ui_reset_changes|Сбросить изменения
ui_weapon_proficiencies|Владение оружием
ui_skills|Навыки
ui_attributes|Характеристики
ui_enter_name_here|*Введите имя*
ui_edit_face|Нажмите для редактирования лица
ui_statistics|Статистика
ui_next|Далее
ui_prev|Назад
ui_learn|Изучить
ui_question_saving_policy|Какой режим сохранения использовать?
ui_saving_policy_realistic|Реалистичный! Нельзя выйти без сохранения!
ui_saving_policy_nonrealistic|Разрешить выход без сохранения.
ui_tutorial_character_generation|Введите имя и распределите очки характеристик, навыков и владения оружием. Вы можете кликать на элементы экрана, чтобы узнать, как они влияют на персонажа.
ui_str|СИЛ
ui_agi|ЛВК
ui_int|ИНТ
ui_cha|ХАР
ui_at_learning_limit|(Достигнут предел изучения)
ui_not_enough_skill_points_to_learn|(Недостаточно очков навыков)
ui_strength|сила
ui_agility|ловкость
ui_intelligence|интеллект
ui_charisma|харизма
ui_not_enough_attributetype_to_learn_this_skill|(Недостаточно %s для изучения этого навыка)
ui_explanation_one_handed_weapon|Охватывает использование одноручных мечей, топоров и дробящего оружия.
ui_explanation_two_handed_weapon|Охватывает использование двуручных мечей, больших топоров и молотов.
ui_explanation_polearm|Охватывает использование древкового оружия: копий, пик, посохов и т.д.
ui_explanation_archery|Охватывает использование луков.
ui_explanation_crossbow|Охватывает использование арбалетов.
ui_explanation_throwing|Охватывает использование метательного оружия: дротиков, камней и т.д.
ui_explanation_firearms|Охватывает использование пистолетов и мушкетов.
ui_explanation_strength|Сила: Каждое очко добавляет +1 к здоровью. Следующие навыки не могут быть развиты выше 1/3 Силы: железная плоть, мощный удар, мощный бросок, мощный выстрел.
ui_explanation_agility|Ловкость: Каждое очко даёт пять очков владения оружием и слегка увеличивает скорость передвижения. Следующие навыки не могут быть развиты выше 1/3 Ловкости: мастер оружия, щиты, атлетика, верховая езда, конная стрельба, мародёрство.
